Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
.	1	0	0	0	0	2	1	5	2	3	4	1	5	1	2	0	0	0	4	1	2	1	3	0	2	1	8	1	1	1	0	4	1	2	0	2	0	1	4	1	6	0	4	3	3	0	19	1	1	2	0	1	1	0	4	17	3	5	1	2	14	2	0	0	3	1	5	1	0	12	5	2	1	3	1	7	3	1	8	1	0	0	10	4	4	9	2	4	0	7	4	15	0	1	5	7	1	9	0	0	3	4	1	1	0	2	0	2	5	1	33	4	2	6	0	3	3	4	0	12	1	1	10	5	1	7	4	6	3	0	16	0	3	0	0	3	2	1	3	0	0	0	2	7	1	0	5	0	2	1	0	0	8	5	3	5	10	0	1	3	5	12	0	6	3	2	15	0	1	2	0	4	0	0	1	8	2	0	1	11	1	1	0	0	0	1	12	0	0	0	1	0	1	3	0	1	1	3	0	7	1	0	1	5	1	0	2	0	2	0	2	14	4	10	0	13	0	0	0	10	3	1	0	1	5	9	8	2	1	7	2	5	3	2	0	6	3	9	4	4	0	0	0	1	4	0	6	1	2	5	1	0	0	4	1	4	0	0	3	0	1	1	0	2	1	2	1	0	3	1	9	2	57	1	5	0	0	4	1	4	3	6	8	7	2	4	13	5	1	1	3	0	2	6	5	0	6	14	4	1	2	4	5	1	1	8	2	5	7	4	0	2	0	6	6	2	0	1	10	0	1	1	1	5	10	14	3	1	3	1	1	5	2	2	1	2	3	2	0	1	6	36	4	1	0	0	2	1	4	2	0	0	1	1	1	4	1	7	3	6	1	1	1	1	19	2	2	0	2	2	4	2	0	2	1	1	6	2	20	1	2	4	6	1	2	0	7	9	2	6	2	47	0	5	3	7	1	0	12	6	2	4	7	1	0	1	0	0	4	7	1	5	1	6	15	5	4	7	7	8	0	1	0	1	2	2	1	2	4	1	4	0	0	6	1	1	2	0	2	6	2	2	4	3	1	2	0	4	0	0	0	47	11	7	1	0	1	6	2	0	1	2	4	1	1	3	0	1	7	0	1	2	3	12	4	0	0	2	1	1	0	2	10	23	3	2	0	5	7	2	2	0	3	3	0	1	8	2	1	2
The Ideal Copy	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	1	5	2	5	0	6	0	0	0	0	0	0	2	6	0	0	0	10	0	0	3	0	0	2	0	3	0	4	0	1	0	2	1	8	0	0	0	0	0	0	4	0	0	0	3	0	0	2	0	0	1	1	0	1	0	0	3	2	2	4	0	1	0	0	0	0	4	0	1	1	5	0	1	0	12	1	1	0	4	1	0	5	0	2	1	1	0	0	0	0	8	2	1	0	0	0	6	0	3	4	1	0	3	0	1	0	4	3	0	0	0	0	0	1	2	1	0	0	0	8	0	0	0	0	4	3	2	2	0	1	0	0	0	0	0	0	8	0	5	1	2	4	0	1	1	1	0	0	0	3	3	0	9	0	1	0	0	0	0	3	3	0	2	0	1	0	0	1	0	1	0	0	3	0	0	0	3	1	0	1	0	1	4	1	0	4	3	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	7	0	1	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	5	3	0	1	0	2	5	0	2	0	1	0	1	3	0	4	0	4	1	0	1	1	1	1	5	1	5	1	8	0	1	0	0	2	9	2	3	0	3	0	1	0	4	1	0	0	2	0	0	3	0	0	2	0	0	3	2	0	7	0	0	0	4	2	4	4	1	0	0	0	0	0	0	2	2	6	0	0	2	0	0	1	0	0	2	2	7	9	1	2	1	0	1	0	0	1	2	4	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	7	1	3	0	2	0	0	0	0	0	1	0	0	1	2	0	1	0	7	2	0	2	0	13	0	4	0	0	0	0	2	1	1	3	10	0	0	2	0	1	0	0	0	0	1	1	0	1	3	2	0	2	0	1	0	0	0	3	1	0	0	0	0	2	9	0	0	1	4	2	1	4	4	0	5	2	5	2	1	1	0	0	0	4	4	1	0	0	0	1	1	0	0	1	3	1	0	3	0	0	5	0	2	0	2	0	0	1	11	0	0	2	1	0	5	3	0	0	0	2	4	5	5	2	2	0	0	6	1	3	2	1
*Sixeyes: by Alan Williamson	0	0	0	0	0	0	1	2	0	0	2	0	3	0	1	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	1	1	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	1	1	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	1	0	2	0	1	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
The Night Mail	1	1	31	31	4	5	15	10	8	5	41	5	29	9	8	1	40	1	2	2	5	17	22	1	27	8	9	20	4	50	7	6	9	5	18	10	3	8	11	4	12	2	11	32	31	3	32	0	78	6	3	0	3	13	2	136	5	29	3	3	75	6	7	12	50	1	33	0	4	6	38	0	21	0	6	4	3	53	18	22	7	0	10	8	2	70	5	12	0	28	5	0	6	8	7	26	495	1	2	53	6	3	9	2	4	82	1	1	0	5	112	7	41	122	3	2	16	2	2	1	8	6	109	3	27	30	2	26	36	2	16	58	14	0	6	2	31	12	19	3	3	6	25	4	41	166	10	4	1	4	7	2	13	4	6	27	11	14	92	1	0	7	1	37	17	13	6	0	2	5	0	5	7	4	7	36	11	4	0	55	12	24	3	5	2	3	71	1	8	12	1	3	2	1	5	1	16	7	4	3	1	10	0	22	6	15	10	92	0	0	2	11	25	19	1	2	2	7	20	134	2	2	1	27	8	17	8	26	4	79	21	17	13	5	3	22	0	32	1	0	0	7	0	15	5	4	1	0	0	2	6	10	3	23	2	123	2	20	1	0	12	2	3	0	40	7	21	26	38	1	10	48	71	8	3	17	12	66	4	2	6	6	3	13	26	114	13	7	1	0	13	0	2	194	9	19	5	18	3	5	0	20	22	3	0	1	89	19	14	29	17	3	0	88	49	16	4	4	6	1	16	7	4	0	1	84	6	5	3	13	11	9	0	13	12	1	62	9	1	4	17	7	0	16	0	2	6	5	51	10	20	2	12	25	9	6	4	1	0	1	24	41	5	3	31	24	5	0	31	45	2	1	56	10	10	13	123	2	1	2	16	9	23	3	100	2	6	31	0	10	4	49	14	94	16	58	16	5	28	53	32	7	107	3	0	9	2	2	5	5	6	0	5	28	0	7	20	0	5	38	31	0	6	2	0	9	1	14	3	11	11	0	3	385	7	2	6	29	50	37	1	34	59	0	50	9	9	29	1	0	2	9	227	7	24	3	11	5	2	9	4	41	18	3	4	140	14	2	42	1	12	18	3	26	0	7	11	5	0	41	0	15	61	55	17	12	55	12	4	7	63	3	3	21	1	34	5	10	5	19
What Am I Doing?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
La Fotografía Efectista Abstracta. Fotos Abstractas. Abstract  Photos.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Becky Sharp Fashion Blog	2	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	3	0	1	3	0	0	6	0	0	0	1	2	0	4	0	0	0	2	1	1	0	0	0	0	2	2	3	0	0	0	0	0	0	4	0	1	0	0	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	1	1	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	4	2	0	2	0	0	0	1	0	0	0	0	0	0	0	15	0	5	0	0	0	0	3	0	1	4	0	0	0	1	2	0	2	0	0	0	1	2	0	0	2	7	1	0	2	0	0	0	0	1	0	4	2	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	2	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	1	0	0	2	1	2	0	0	2	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	4	1	0	1	0	1	2	0
from a voice plantation	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	2	0	0	0	1	0	0	2	9	0	0	0	8	1	0	4	0	1	2	5	0	0	1	0	0	0	6	0	3	0	0	1	0	1	0	2	0	0	0	2	1	0	2	0	0	5	1	4	0	0	0	2	3	0	0	0	1	0	1	4	0	0	0	4	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	2	0	0	2	0	2	0	2	4	0	1	0	0	0	0	2	0	0	1	2	2	2	0	0	0	1	0	3	2	2	0	0	1	2	0	2	2	0	7	1	0	0	0	0	5	2	0	3	0	0	1	1	0	0	0	0	1	0	4	7	0	2	2	0	0	2	0	0	2	1	1	0	1	0	1	0	0	2	0	4	0	0	0	1	0	2	2	0	5	0	2	0	0	0	1	1	2	1	7	0	0	3	1	1	1	1	0	0	4	2	0	0	1	2	1	0	0	1	0	0	2	0	0	0	0	0	1	3	0	1	1	0	1	0	1	0	1	3	1	5	1	0	0	0	0	1	0	0	0	1	1	2	4	4	1	4	0	3	0	0	0	0	1	0	0	1	1	2	1	4	0	3	3	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	3	1	0	0	0	2	0	1	0	0	0	0	2	1	1	0	0	2	0	0	1	1	0	2	1	1	0	0	0	2	1	3	2	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	6	1	0	2	0	0	0	3	3	1	0	2	2	0	0	0	4	5	0	3	1	7	0	2	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	9	7	0	0	3	0	0	21	2	0	0	0	0	1	6	3	0	3	0	0	2	0	1	2	0	0	0	4	2	0	0	0	5	6	0	1	1	0	1	1	0	0	0	3	1	3	1	0	1	0	0	3	0	3	1	0	0	3	2	1	0	4	14	3	2	0	1	0	0	2	8	2	1	0	1
Rod Shone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiDCHAIR	8	2	0	0	0	6	5	0	1	3	7	2	6	3	0	2	2	1	1	1	1	0	0	0	0	5	7	1	1	2	0	28	4	2	10	2	2	2	1	0	3	0	5	5	7	2	23	0	6	0	1	0	1	4	1	4	0	6	1	7	18	1	2	2	0	8	25	5	0	4	2	0	0	2	4	2	10	2	0	1	2	0	1	1	4	7	1	1	11	10	2	0	0	1	0	3	3	3	0	2	3	6	3	0	5	5	1	5	5	2	7	0	1	6	6	0	10	5	0	2	2	0	27	0	16	22	2	0	1	0	2	0	6	1	2	1	3	1	0	2	4	6	0	1	8	1	3	2	2	0	0	0	6	5	1	5	24	2	3	6	2	11	0	4	5	3	14	0	4	5	2	1	2	3	15	8	7	3	15	3	5	1	3	0	2	7	10	1	3	8	1	1	3	0	1	1	1	0	4	6	2	0	1	2	0	8	2	1	5	0	5	0	25	2	0	1	1	0	0	12	0	1	1	0	5	1	5	1	6	5	0	4	5	18	1	5	1	5	1	2	2	1	2	4	1	0	0	1	2	1	3	0	4	5	0	0	0	6	5	4	2	2	0	6	1	0	6	5	4	0	40	0	17	5	1	1	1	2	7	0	4	33	2	6	1	2	4	2	1	0	5	2	4	16	2	0	1	6	0	8	2	0	2	1	0	5	1	5	10	4	2	0	2	3	12	3	9	0	0	4	6	2	2	1	0	4	3	3	5	0	1	14	4	6	0	0	3	3	3	21	29	6	0	3	4	2	3	4	6	0	3	1	15	2	3	1	7	1	5	1	5	4	3	0	1	2	1	0	3	3	3	0	0	1	7	1	6	0	1	0	7	0	6	1	2	0	31	4	0	5	7	7	1	11	0	14	4	1	3	18	11	7	18	2	1	3	2	2	3	2	2	0	2	6	1	2	1	1	1	6	0	0	2	8	0	3	2	5	0	2	0	1	1	22	1	5	0	0	1	8	4	0	6	0	5	10	1	11	0	0	0	5	13	2	1	0	2	3	4	1	1	4	0	6	1	2	7	2	2	1	4	2	1	0	4	3	13	0	1	4	0	0	18	18	0	4	2	23	1	4	5	4	2	14	1	6	1	1	8	4
Sonology	9	0	2	4	1	2	0	0	1	4	1	0	0	1	0	2	8	0	0	0	0	4	2	0	8	1	0	2	1	4	0	4	0	2	0	7	0	3	0	1	0	0	1	2	2	2	3	0	7	1	0	15	3	2	0	7	0	3	11	3	0	2	1	2	6	2	1	3	2	0	2	1	0	0	0	0	3	10	1	5	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	1	3	0	2	2	0	0	0	3	0	2	0	0	0	1	1	0	0	0	0	0	4	2	0	6	0	0	5	0	1	2	0	0	2	4	2	0	1	1	0	2	2	1	2	1	0	0	1	2	3	0	0	0	1	0	4	0	8	3	0	0	1	0	0	3	0	0	1	2	37	0	0	2	0	2	0	0	2	2	4	2	2	2	1	0	0	1	0	3	7	0	2	4	0	0	2	1	1	12	1	0	0	2	0	0	3	5	0	0	0	0	3	1	3	0	3	0	0	0	1	0	0	8	1	5	0	0	5	0	1	1	0	4	2	0	0	0	0	2	1	3	2	0	0	2	0	0	3	0	1	0	0	0	0	0	6	8	0	10	1	0	1	2	0	5	1	1	5	0	1	1	2	0	5	0	3	3	0	0	0	7	0	1	0	0	2	0	0	6	2	0	0	0	3	2	0	3	1	2	2	0	5	0	0	1	0	0	0	2	1	1	0	0	0	1	0	2	5	3	1	0	1	2	0	0	2	0	0	10	0	0	2	0	1	0	2	1	2	0	4	0	1	3	0	20	0	0	3	2	5	7	0	0	0	0	2	1	1	0	0	2	1	0	6	1	0	7	6	1	2	0	1	1	3	0	1	4	1	0	4	0	3	1	2	0	2	0	0	1	13	10	3	0	2	4	0	1	1	0	3	0	1	6	2	0	0	0	0	0	2	2	0	0	0	0	1	2	0	0	1	0	0	0	3	2	0	0	0	2	2	0	0	0	0	6	0	0	0	1	3	2	7	5	1	1	3	0	4	3	2	3	0	2	0	0	0	0	2	1	2	5	0	2	0	2	2	0	1	9	8	0	0	1	7	3	8	4	3	0	0	0	2	0	0	0	2	0	1	0	1	4	3	3	0	1	1	6	0	5	0	3	1	4
Our Podcast Could Be Your Life	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
